,timestamp,open,high,low,close,volume
209,1768275900,1485.0,1485.1,1466.2,1467.0,1104472
210,1768277100,1466.8,1468.6,1463.4,1466.7,2173996
211,1768278300,1466.6,1469.4,1460.2,1467.0,2846198
212,1768279500,1466.7,1469.8,1465.2,1467.7,3189539
213,1768280700,1467.6,1468.4,1464.0,1466.3,3455826
214,1768281900,1466.1,1467.5,1465.4,1467.1,3634469
215,1768283100,1467.0,1468.9,1466.3,1468.0,3837883
216,1768284300,1467.9,1468.9,1463.0,1463.8,4105615
217,1768285500,1463.7,1463.9,1455.0,1456.0,4678755
218,1768286700,1455.9,1462.3,1455.0,1461.7,4947436
219,1768287900,1461.9,1463.0,1455.8,1457.8,5207575
220,1768289100,1457.7,1458.4,1453.3,1454.5,5660774
221,1768290300,1454.6,1456.4,1453.3,1455.7,6178357
222,1768291500,1455.6,1456.4,1454.4,1455.4,6566675
223,1768292700,1455.2,1455.6,1451.6,1453.8,6951749
224,1768293900,1453.3,1453.9,1447.8,1449.5,8169713
225,1768295100,1449.4,1452.8,1448.1,1449.2,9211730
226,1768296300,1449.5,1456.8,1444.8,1454.9,12081834
227,1768297500,1455.0,1460.0,1452.9,1456.9,13498784
228,1768362300,1444.0,1455.4,1440.4,1455.0,1036592
229,1768363500,1454.7,1456.2,1449.6,1456.2,1400252
230,1768364700,1456.0,1458.8,1454.7,1455.4,1657871
231,1768365900,1455.5,1458.0,1454.1,1457.8,1845810
232,1768367100,1458.0,1463.0,1457.6,1461.8,2186152
233,1768368300,1461.9,1465.5,1460.9,1463.3,2600555
234,1768369500,1463.1,1466.0,1462.9,1464.8,2836485
235,1768370700,1464.6,1465.3,1463.0,1463.9,3018781
236,1768371900,1463.5,1464.4,1460.0,1461.0,3227859
237,1768373100,1460.9,1463.9,1460.6,1463.4,3430809
238,1768374300,1463.3,1466.9,1463.3,1465.0,3674171
239,1768375500,1465.1,1465.2,1461.0,1463.5,3957958
240,1768376700,1463.3,1464.2,1460.4,1460.8,4163807
241,1768377900,1460.9,1461.7,1453.0,1454.3,4565058
242,1768379100,1454.6,1458.6,1453.5,1458.5,4802173
243,1768380300,1458.6,1459.8,1455.6,1459.5,5215462
244,1768381500,1459.6,1462.8,1459.0,1462.8,5663560
245,1768382700,1462.5,1462.8,1456.4,1457.1,7550500
246,1768383900,1457.0,1459.3,1455.0,1458.8,8320834
247,1768535100,1458.8,1472.2,1458.8,1463.6,3119927
248,1768536300,1463.1,1467.7,1462.4,1464.4,3739846
249,1768537500,1464.2,1468.0,1463.2,1466.8,4242826
250,1768538700,1466.7,1473.1,1466.7,1472.0,5139560
251,1768539900,1472.2,1480.0,1471.9,1476.8,5873137
252,1768541100,1477.0,1479.0,1471.7,1473.1,6393399
253,1768542300,1473.3,1474.9,1469.0,1473.9,7614944
254,1768543500,1473.8,1474.9,1468.6,1470.1,8463758
255,1768544700,1469.9,1470.9,1464.3,1470.5,9263072
256,1768545900,1470.7,1471.1,1463.8,1465.9,10089403
257,1768547100,1466.0,1466.4,1460.8,1463.2,10506837
258,1768548300,1463.1,1463.7,1455.1,1458.7,11119330
259,1768549500,1458.5,1464.8,1456.1,1462.2,12004894
260,1768550700,1462.0,1462.9,1457.5,1458.6,12877150
261,1768551900,1458.7,1459.3,1456.3,1458.0,13242554
262,1768553100,1457.9,1463.0,1457.1,1462.5,13611722
263,1768554300,1462.2,1462.6,1458.8,1459.9,14061046
264,1768555500,1459.7,1460.4,1455.9,1456.7,15725906
265,1768556700,1456.6,1461.5,1455.9,1461.2,17164724
266,1768794300,1450.6,1450.6,1420.0,1428.0,3163814
267,1768795500,1428.3,1430.5,1424.0,1425.2,4182565
268,1768796700,1425.0,1426.0,1419.6,1424.4,5211159
269,1768797900,1423.9,1424.8,1406.4,1408.1,7690564
270,1768799100,1407.8,1411.8,1407.1,1408.9,8703340
271,1768800300,1409.0,1411.1,1408.0,1408.9,9376854
272,1768801500,1409.0,1410.2,1408.0,1408.8,9750049
273,1768802700,1408.9,1412.9,1408.5,1411.9,10286055
274,1768803900,1411.8,1413.9,1408.0,1408.3,10925699
275,1768805100,1408.4,1409.6,1404.0,1405.5,11946230
